brand_id,brand_name
363,Here&Now
364,Hersheinbox
365,High Star
366,Highlight Fashion Export
367,Hill Street
368,Hive91
369,Honey By Pantaloons
370,Honnete
371,Hopscotch
372,House Of Kari
373,House Of Kkarma
374,House Of Pataudi
375,Hritika
376,Hrx By Hrithik Roshan
377,Hsr
378,Hubberholme
379,Huetrap
380,Hummel
381,Hypernation
382,I Am For You
383,I Love She
384,I Saw It First
385,Idk
386,Ikdaiya
387,Iki Chic
388,Imara
389,Inddus
390,Indethnic
391,Indi Inside
392,Indian Dobby
393,Indian Heritage
394,Indiankala4U
395,Indibelle
396,Indietoga
397,Indo Era
398,Indya
399,Inocencia
400,Instafab Plus
401,Insua
402,Invictus
403,Invincible
404,Inweave
405,Ira Soleil
406,Iridaa Jaipur
407,Iris
408,Ishin
409,Isu
410,Iti
411,Itse
412,Iuga
413,Ives
414,Ix Impression
415,J Style
416,Jainish
417,Jaipur Attire
418,Jaipur Kurti
419,Jaipur Morni
420,Jaipuri Bunaai
421,Janasya
422,Jansi
423,Jashvi Creation
424,Jatriqq
425,Javta
426,Jbn Creation
427,Jc Collection
428,Jc Mode
429,Jerfsports
430,Jinfo
431,Jockey
432,Joe Hazel
433,Jompers
434,Juelle
435,Jump Usa
436,June & Harry
437,Juneberry
438,Juniors By Lifestyle
439,Juniper
440,Juniper Plus
441,Just Wow
442,Justanned
443,Kaajh
444,Kalini
445,Kalista
446,Kalt
447,Kami Kubi
448,Kannahi
449,Kannan
450,Kanvin
451,Kappa
452,Karaj Jaipur
453,Karen Scott
454,Karigari
455,Karmic Vision
456,Kasak
457,Kasee
458,Kassually
459,Kazo
460,Kbz
461,Keiko
462,Kendall & Kylie
463,Kesarya
464,Ketch
465,Kex
466,Khumaar Shuchi Bhutani
467,Khushal K
468,Kica
469,Kid1
470,Kiddopanti
471,Kinder Kids
472,Kipek
473,Kiroshe By Kiran
474,Klas Nobl
475,Klotthe
476,Knitstudio
477,Kook N Keech
478,Kook N Keech Disney
479,Kook N Keech Emoji
480,Kook N Keech Looney Tunes
481,Kook N Keech Marvel
482,Kotty
483,Kovet
484,Kraus Jeans
485,Kriatma
486,Kryptic
487,Ksut
488,Kvsfab
489,La Aimee
490,La Vastraa
491,La Zoire
492,Laado - Pamper Yourself
493,Laasa  Sports
494,Label Aarna
495,Label Regalia
496,Label Ritu Kumar
497,Ladusaa
498,Lagashi
499,Lakshita
500,Lamoure By Red Chief
501,Latin Quarters
502,Lc Waikiki
503,Le Bourgeois
504,Leather Retail
505,Lee Moda
506,Lela
507,Levis
508,Lewawaa
509,Libas
510,Lil Drama
511,Lil Pitaara
512,Lill
513,Lilots
514,Lilpicks
515,Linaro Lifestyles
516,Live Ok
517,Lokatita
518,London Rag
519,Lookfield
520,Looknbook Art
521,Loom Legacy
522,Lovegen
523,Lovely Lady
524,Lovista
525,Lucero
526,Luni
527,Luyk
528,Ly2
529,Lykkein
530,M&H Easy
531,M&H Juniors
532,M&H Our Water
533,Mabish By Sonal Jain
534,Madame
535,Mafadeny
536,Mafe
537,Magic Needles
538,Magnetic Designs
539,Magre
540,Maiyee
541,Malachi
542,Malhaar
543,Mameraa
544,Mango
545,Mango Kids
546,Manohari
547,Many Frocks &
548,Manzon
549,Marie Claire
550,Marigold By Fablestreet
551,Marks & Spencer
552,Martini
553,Masaba
554,Mast & Harbour
555,Max
556,Maxence
557,Mayra
558,Mbe
559,Me Craft
560,Me Lady Fashion
561,Meena Bazaar
562,Meeranshi
563,Melange By Lifestyle
564,Merlot
565,Mesmora Fashion
566,Mettle
567,Mf
568,Miaz Lifestyle
569,Mimosa
570,Mine4Nine
571,Minions By Kook N Keech
572,Minos
573,Miramor
574,Mirari
575,Miravan
576,Mirchi Fashion
577,Mish
578,Mishri Collection
579,Miss Chase
580,Miss Poem
581,Missguided
582,Missy
583,Mitera
584,Mizash
585,Mod Ecru
586,Moda Chales
587,Moda Rapido
588,Mode By Red Tape
589,Modriba
590,Moksha Designs
591,Mokshi
592,Molcha
593,Momtobe
594,Monjolika Fashion
595,Monte Carlo
596,Montrez
597,Morly
598,Mothercare
599,Mrm Creation
600,Ms Retail
601,Muffly
602,Mulmul By Arabella
603,My Little Lambs
604,Myshka
605,Mystere Paris
606,Naari
607,Nainvish
608,Na-Kd
609,Nakkashi
610,Nakshi
611,Nalli Next
612,Nanda Silk Mills
613,Natilene
614,Nauti Nati
615,Nautica
616,Naviyata
617,Navyasa
618,Nayo
619,Nayrah
620,Nds Niharikaa Designer Studio
621,Neckbook
622,Neerus
623,Nejo
624,Netram
625,Neudis
626,New Balance
627,Next One
628,N-Gal
629,Nick&Jess
630,Nifty
631,Nike
632,Nirja Fab
633,Nivah Fashion
634,Niza
635,Nobarr
636,Noh.Voh - Sassafras Kids
637,Noi
638,Not Yet By Us
639,Nun
640,Nynsh- Pluss Kids
641,Ode By House Of Pataudi
642,Off Label
643,Off Limits
644,Office & You
645,Ojjasvi
646,Okane
647,Om Sai Latest Creation
648,One Femme
649,One Friday
650,One Of A Kind
651,Oneway
652,Only
653,Orchid Blues
654,Origin By Zalora
655,Orus
656,Os
657,Otorva
658,Outflits
659,Owncraft
660,Oxolloxo
661,Oxxo
662,Panash Trends
663,Panchhi
664,Pandadi Saree
665,Panit
666,Pannkh
667,Pantaloons Junior
668,Paralians
669,Paramount Chikan
670,Parchhai
671,Paris Hamilton
672,Park Avenue
673,Pashmoda
674,Pashtush
675,Patrorna
676,People
677,Pepe Jeans
678,Peppermint
679,Perfectblue
680,Perfkt-U
681,Piccolo
682,Pinkloom
683,Pinksky
684,Pirko
685,Piroh
686,Pisara
687,Pistaa
688,Pluss
689,Plutus
690,Poonam Designer
691,Popnetic
692,Popwings
693,Porsorte
694,Portobello
695,Poshak Hub
696,Pothys
697,Powerpuff Girls By Kook N Keech
698,Powersutra
699,Prakhya
700,Prakrti
701,Prasthan
702,Pratham Blue
703,Prenea
704,Prettyplus By Desinoor.Com
705,Pspeaches
706,Puma
707,Purple Feather
708,Purple State
709,Purvaja
710,Purys
711,Qomn
712,Q-Rious
713,Quarantine
714,Quechua By Decathlon
715,Quiero
716,Quinoa
717,Qurvii
718,R&B
719,R26
720,Raano
721,Raassio
722,Rain & Rainbow
723,Raisin
724,Rajesh Silk Mills
725,Rajgranth
726,Rajnandini
727,Rang Gali
728,Rangmanch By Pantaloons
729,Rangmayee
730,Rangriti
731,Rare
732,Rare Roots
733,Rareism
734,Readiprint Fashions
735,Redround
736,Reebok
737,Reebok Classic
738,Reich Color
739,Reistor
740,Remanika
741,Rentiyo
742,Revolution
743,Rght
744,Rigo
745,Ritu Kumar
746,Rivama
747,Rivana
748,River Of Design Jeans
749,Rivi
750,Roadster
751,Roadster Fast And Furious
752,Roly Poly
753,Rooted
